epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.03,49,,,,,,,
0,,49,,1.3653408288955688,,,,,
,0.03,99,,,,,,,
0,,99,,0.9235425591468811,,,,,
,0.03,149,,,,,,,
0,,149,,0.8708763122558594,,,,,
,0.03,199,,,,,,,
0,,199,,1.0241624116897583,,,,,
,0.03,249,,,,,,,
0,,249,,0.7023262977600098,,,,,
,0.03,299,,,,,,,
0,,299,,0.832126796245575,,,,,
0,,309,,,1.3854676485061646,0.46301373839378357,3.988870143890381,0.9238126277923584,0.9036622643470764
0,,309,0.9901837706565857,,,,,,
,0.03,349,,,,,,,
1,,349,,0.6344805359840393,,,,,
,0.03,399,,,,,,,
1,,399,,0.8921569585800171,,,,,
,0.03,449,,,,,,,
1,,449,,0.7047296166419983,,,,,
,0.03,499,,,,,,,
1,,499,,0.6759071946144104,,,,,
,0.03,549,,,,,,,
1,,549,,1.0551069974899292,,,,,
,0.03,599,,,,,,,
1,,599,,1.0537585020065308,,,,,
1,,619,,,1.3279783725738525,0.4993870258331299,3.905764579772949,0.920002818107605,0.8657172918319702
1,,619,0.8709390759468079,,,,,,
,0.03,649,,,,,,,
2,,649,,0.756416380405426,,,,,
,0.03,699,,,,,,,
2,,699,,1.0845054388046265,,,,,
